iter	Passed	Remaining
0	151	151628
1	153	76728
2	155	51689
3	157	39284
4	159	31717
5	160	26661
6	162	23110
7	164	20406
8	165	18250
9	167	16536
10	168	15182
11	170	14068
12	172	13119
13	174	12275
14	175	11533
15	176	10879
16	178	10317
17	180	9833
18	183	9461
19	185	9089
20	187	8730
21	188	8388
22	190	8076
23	191	7801
24	193	7534
25	194	7280
26	195	7042
27	196	6837
28	198	6656
29	200	6485
30	201	6311
31	203	6146
32	204	5988
33	205	5841
34	206	5705
35	208	5573
36	209	5446
37	210	5325
38	212	5228
39	213	5127
40	215	5036
41	216	4939
42	218	4851
43	219	4765
44	220	4682
45	221	4600
46	223	4528
47	224	4461
48	226	4397
49	228	4337
50	229	4276
51	231	4214
52	232	4157
53	234	4102
54	235	4046
55	236	3993
56	238	3943
57	240	3899
58	241	3854
59	244	3831
60	246	3790
61	248	3763
62	250	3732
63	252	3695
64	254	3660
65	256	3632
66	258	3600
67	260	3570
68	261	3534
69	263	3500
70	265	3472
71	268	3458
72	271	3449
73	273	3424
74	275	3394
75	276	3366
76	278	3336
77	279	3306
78	281	3281
79	284	3270
80	286	3247
81	288	3225
82	289	3195
83	291	3173
84	293	3154
85	295	3136
86	298	3129
87	301	3122
88	302	3100
89	305	3084
90	306	3065
91	308	3046
92	310	3029
93	312	3010
94	314	2992
95	317	2986
96	318	2969
97	320	2952
98	322	2934
99	323	2915
100	325	2898
101	327	2881
102	329	2865
103	331	2852
104	333	2841
105	336	2834
106	337	2820
107	339	2804
108	341	2788
109	342	2772
110	344	2757
111	346	2748
112	348	2732
113	349	2716
114	350	2700
115	353	2695
116	355	2680
117	357	2669
118	359	2658
119	361	2649
120	363	2638
121	364	2624
122	366	2613
123	368	2602
124	370	2594
125	372	2585
126	374	2573
127	376	2565
128	378	2555
129	380	2544
130	381	2533
131	384	2526
132	386	2517
133	387	2506
134	389	2496
135	393	2498
136	395	2490
137	397	2484
138	399	2476
139	402	2469
140	403	2460
141	406	2454
142	411	2465
143	413	2459
144	415	2450
145	417	2440
146	419	2432
147	421	2425
148	423	2419
149	425	2411
150	427	2404
151	429	2397
152	431	2389
153	433	2383
154	436	2378
155	438	2372
156	440	2365
157	442	2357
158	444	2350
159	446	2341
160	447	2330
161	449	2323
162	453	2326
163	456	2325
164	458	2320
165	460	2313
166	462	2307
167	466	2309
168	470	2315
169	473	2309
170	475	2303
171	476	2295
172	478	2288
173	480	2282
174	482	2276
175	485	2271
176	487	2264
177	488	2257
178	490	2251
179	492	2243
180	494	2237
181	496	2230
182	498	2224
183	500	2217
184	502	2213
185	504	2206
186	506	2201
187	508	2194
188	510	2189
189	512	2186
190	514	2180
191	516	2173
192	518	2167
193	520	2161
194	522	2155
195	524	2150
196	526	2145
197	529	2142
198	530	2135
199	532	2129
200	534	2124
201	536	2119
202	538	2115
203	544	2125
204	547	2124
205	550	2120
206	551	2114
207	553	2107
208	555	2103
209	558	2099
210	560	2094
211	563	2093
212	565	2088
213	566	2082
214	568	2077
215	571	2073
216	573	2068
217	575	2062
218	576	2057
219	578	2051
220	580	2045
221	582	2041
222	584	2036
223	586	2032
224	588	2028
225	590	2023
226	592	2018
227	594	2013
228	596	2007
229	598	2002
230	600	1997
231	603	1998
232	605	1994
233	607	1989
234	609	1984
235	611	1979
236	613	1973
237	614	1968
238	616	1963
239	619	1960
240	622	1959
241	625	1958
242	627	1954
243	629	1951
244	631	1947
245	634	1943
246	635	1938
247	638	1935
248	639	1930
249	641	1924
250	643	1921
251	645	1917
252	649	1917
253	653	1918
254	654	1913
255	656	1907
256	661	1911
257	663	1907
258	665	1902
259	666	1897
260	668	1893
261	670	1889
262	672	1885
263	678	1892
264	683	1894
265	684	1889
266	687	1888
267	690	1884
268	691	1880
269	693	1874
270	695	1870
271	697	1866
272	698	1861
273	701	1857
274	703	1853
275	705	1850
276	707	1846
277	709	1842
278	711	1837
279	713	1833
280	715	1831
281	717	1827
282	719	1823
283	722	1820
284	724	1816
285	726	1813
286	728	1809
287	730	1806
288	732	1802
289	735	1800
290	738	1799
291	740	1795
292	741	1790
293	743	1785
294	745	1781
295	747	1778
296	750	1777
297	753	1774
298	755	1770
299	757	1767
300	759	1764
301	762	1762
302	764	1758
303	766	1755
304	768	1751
305	770	1747
306	772	1742
307	774	1739
308	776	1735
309	778	1733
310	780	1729
311	782	1725
312	784	1721
313	786	1717
314	787	1713
315	789	1709
316	793	1709
317	795	1705
318	798	1704
319	801	1702
320	804	1701
321	807	1700
322	809	1697
323	811	1693
324	813	1689
325	815	1686
326	817	1681
327	819	1678
328	822	1677
329	824	1673
330	826	1669
331	828	1667
332	830	1664
333	832	1660
334	834	1656
335	836	1653
336	838	1649
337	843	1652
338	845	1648
339	848	1646
340	850	1643
341	852	1640
342	855	1637
343	857	1634
344	859	1631
345	861	1628
346	863	1625
347	865	1621
348	867	1618
349	869	1614
350	871	1611
351	873	1608
352	875	1604
353	877	1601
354	879	1598
355	881	1594
356	883	1590
357	886	1589
358	887	1585
359	889	1581
360	891	1578
361	893	1573
362	895	1571
363	897	1568
364	899	1565
365	902	1562
366	904	1559
367	906	1556
368	910	1556
369	912	1552
370	913	1549
371	915	1546
372	919	1545
373	921	1542
374	924	1540
375	926	1536
376	927	1533
377	930	1530
378	934	1530
379	935	1527
380	937	1523
381	940	1522
382	943	1519
383	946	1518
384	950	1517
385	955	1519
386	957	1516
387	962	1517
388	964	1515
389	967	1512
390	969	1509
391	972	1508
392	975	1507
393	978	1504
394	980	1501
395	982	1498
396	987	1499
397	989	1496
398	991	1493
399	993	1490
400	995	1487
401	998	1484
402	1001	1483
403	1003	1480
404	1005	1476
405	1006	1473
406	1008	1469
407	1010	1466
408	1012	1463
409	1015	1460
410	1017	1458
411	1019	1455
412	1021	1451
413	1023	1448
414	1025	1445
415	1026	1441
416	1029	1439
417	1032	1437
418	1034	1433
419	1035	1430
420	1038	1428
421	1040	1425
422	1042	1422
423	1045	1419
424	1047	1417
425	1049	1414
426	1051	1411
427	1053	1408
428	1055	1404
429	1057	1401
430	1059	1398
431	1062	1396
432	1064	1393
433	1066	1391
434	1068	1387
435	1069	1383
436	1071	1380
437	1074	1378
438	1076	1375
439	1077	1371
440	1079	1368
441	1081	1365
442	1082	1361
443	1084	1358
444	1086	1355
445	1088	1352
446	1090	1349
447	1092	1346
448	1094	1343
449	1096	1339
450	1097	1336
451	1099	1333
452	1102	1330
453	1104	1328
454	1106	1324
455	1107	1321
456	1109	1318
457	1111	1314
458	1113	1311
459	1114	1308
460	1117	1306
461	1119	1303
462	1121	1300
463	1123	1297
464	1125	1294
465	1126	1291
466	1128	1287
467	1129	1284
468	1131	1281
469	1133	1277
470	1135	1274
471	1136	1271
472	1139	1269
473	1141	1266
474	1143	1263
475	1144	1260
476	1147	1257
477	1149	1255
478	1151	1252
479	1153	1249
480	1154	1245
481	1156	1242
482	1157	1239
483	1159	1235
484	1161	1233
485	1163	1230
486	1165	1227
487	1167	1224
488	1168	1221
489	1170	1218
490	1171	1214
491	1173	1211
492	1174	1208
493	1177	1206
494	1179	1203
495	1181	1200
496	1183	1197
497	1185	1194
498	1187	1192
499	1189	1189
500	1191	1186
501	1192	1183
502	1195	1180
503	1196	1177
504	1198	1174
505	1199	1171
506	1201	1168
507	1203	1165
508	1205	1162
509	1206	1159
510	1208	1156
511	1210	1153
512	1212	1151
513	1214	1148
514	1216	1145
515	1217	1142
516	1219	1139
517	1222	1137
518	1224	1135
519	1226	1132
520	1228	1129
521	1229	1125
522	1230	1122
523	1232	1119
524	1234	1117
525	1237	1114
526	1239	1112
527	1240	1109
528	1242	1105
529	1243	1102
530	1244	1099
531	1246	1096
532	1247	1093
533	1249	1090
534	1251	1087
535	1252	1084
536	1254	1081
537	1255	1077
538	1256	1074
539	1257	1071
540	1259	1068
541	1261	1065
542	1262	1062
543	1264	1059
544	1266	1057
545	1268	1054
546	1269	1051
547	1271	1049
548	1273	1046
549	1275	1043
550	1276	1040
551	1277	1037
552	1279	1034
553	1281	1031
554	1283	1029
555	1285	1026
556	1287	1023
557	1289	1021
558	1291	1018
559	1292	1015
560	1294	1013
561	1297	1011
562	1300	1009
563	1301	1006
564	1303	1003
565	1306	1001
566	1308	999
567	1310	996
568	1312	994
569	1315	992
570	1317	989
571	1319	987
572	1321	984
573	1323	981
574	1325	979
575	1327	977
576	1329	974
577	1331	972
578	1333	969
579	1335	966
580	1337	964
581	1339	961
582	1341	959
583	1343	957
584	1345	954
585	1347	952
586	1349	949
587	1351	946
588	1352	944
589	1355	941
590	1357	939
591	1360	937
592	1362	934
593	1363	932
594	1366	929
595	1368	927
596	1370	925
597	1373	923
598	1375	920
599	1377	918
600	1378	915
601	1380	912
602	1381	909
603	1384	907
604	1386	905
605	1388	902
606	1390	900
607	1391	897
608	1393	894
609	1394	891
610	1396	888
611	1399	887
612	1401	885
613	1403	882
614	1405	880
615	1408	877
616	1409	875
617	1411	872
618	1414	870
619	1417	868
620	1419	866
621	1421	864
622	1423	861
623	1425	859
624	1428	857
625	1431	854
626	1432	852
627	1434	849
628	1435	846
629	1437	844
630	1438	841
631	1441	839
632	1444	837
633	1446	835
634	1448	832
635	1450	830
636	1451	827
637	1453	824
638	1455	822
639	1456	819
640	1459	817
641	1461	815
642	1463	812
643	1465	810
644	1467	807
645	1469	805
646	1473	803
647	1475	801
648	1477	799
649	1480	797
650	1482	794
651	1484	792
652	1485	789
653	1487	787
654	1490	784
655	1492	782
656	1494	780
657	1495	777
658	1497	774
659	1498	771
660	1499	769
661	1501	766
662	1504	764
663	1506	762
664	1508	759
665	1510	757
666	1512	755
667	1514	752
668	1516	750
669	1519	748
670	1521	746
671	1523	743
672	1525	741
673	1528	739
674	1530	736
675	1532	734
676	1534	732
677	1536	729
678	1538	727
679	1541	725
680	1544	723
681	1546	720
682	1548	718
683	1550	716
684	1552	713
685	1554	711
686	1556	709
687	1558	706
688	1560	704
689	1563	702
690	1565	700
691	1567	697
692	1569	695
693	1571	692
694	1572	690
695	1574	687
696	1576	685
697	1578	683
698	1580	680
699	1582	678
700	1584	675
701	1586	673
702	1588	671
703	1591	669
704	1593	666
705	1595	664
706	1597	662
707	1599	659
708	1601	657
709	1603	654
710	1604	652
711	1606	649
712	1608	647
713	1611	645
714	1613	642
715	1615	640
716	1617	638
717	1619	635
718	1621	633
719	1624	631
720	1626	629
721	1628	626
722	1630	624
723	1632	622
724	1634	619
725	1636	617
726	1638	615
727	1640	612
728	1642	610
729	1644	608
730	1646	605
731	1648	603
732	1650	601
733	1653	599
734	1655	597
735	1659	595
736	1661	592
737	1663	590
738	1665	588
739	1668	586
740	1670	583
741	1672	581
742	1674	579
743	1676	576
744	1678	574
745	1680	572
746	1682	569
747	1685	567
748	1687	565
749	1689	563
750	1691	560
751	1692	558
752	1694	555
753	1697	553
754	1700	551
755	1702	549
756	1704	547
757	1706	544
758	1708	542
759	1711	540
760	1714	538
761	1716	536
762	1718	533
763	1720	531
764	1721	528
765	1723	526
766	1725	524
767	1727	521
768	1729	519
769	1731	517
770	1733	514
771	1735	512
772	1737	510
773	1739	507
774	1741	505
775	1743	503
776	1745	500
777	1747	498
778	1748	496
779	1750	493
780	1752	491
781	1754	489
782	1756	486
783	1758	484
784	1760	482
785	1762	479
786	1764	477
787	1766	475
788	1768	472
789	1770	470
790	1772	468
791	1774	466
792	1777	463
793	1778	461
794	1780	459
795	1782	456
796	1784	454
797	1786	452
798	1788	449
799	1790	447
800	1792	445
801	1794	442
802	1796	440
803	1798	438
804	1800	436
805	1802	433
806	1805	431
807	1806	429
808	1808	427
809	1810	424
810	1812	422
811	1814	420
812	1816	417
813	1818	415
814	1820	413
815	1823	411
816	1824	408
817	1826	406
818	1829	404
819	1831	402
820	1833	399
821	1835	397
822	1838	395
823	1840	393
824	1841	390
825	1843	388
826	1846	386
827	1848	383
828	1850	381
829	1852	379
830	1853	377
831	1856	374
832	1857	372
833	1860	370
834	1862	368
835	1864	365
836	1866	363
837	1868	361
838	1870	358
839	1871	356
840	1873	354
841	1876	352
842	1878	349
843	1880	347
844	1882	345
845	1884	343
846	1886	340
847	1889	338
848	1891	336
849	1894	334
850	1896	331
851	1897	329
852	1899	327
853	1901	325
854	1902	322
855	1904	320
856	1906	318
857	1908	315
858	1910	313
859	1912	311
860	1913	308
861	1915	306
862	1917	304
863	1920	302
864	1922	300
865	1925	297
866	1927	295
867	1929	293
868	1931	291
869	1933	288
870	1935	286
871	1937	284
872	1939	282
873	1941	279
874	1944	277
875	1946	275
876	1950	273
877	1952	271
878	1953	268
879	1956	266
880	1958	264
881	1960	262
882	1962	260
883	1966	258
884	1968	255
885	1971	253
886	1974	251
887	1976	249
888	1978	247
889	1980	244
890	1982	242
891	1985	240
892	1987	238
893	1988	235
894	1990	233
895	1993	231
896	1996	229
897	1998	227
898	2000	224
899	2003	222
900	2005	220
901	2007	218
902	2009	215
903	2011	213
904	2013	211
905	2016	209
906	2018	207
907	2024	205
908	2026	202
909	2028	200
910	2030	198
911	2033	196
912	2035	193
913	2037	191
914	2039	189
915	2041	187
916	2044	185
917	2046	182
918	2047	180
919	2049	178
920	2051	175
921	2053	173
922	2055	171
923	2057	169
924	2059	166
925	2060	164
926	2065	162
927	2067	160
928	2070	158
929	2072	156
930	2075	153
931	2077	151
932	2078	149
933	2080	147
934	2082	144
935	2086	142
936	2088	140
937	2090	138
938	2093	135
939	2095	133
940	2096	131
941	2099	129
942	2101	127
943	2103	124
944	2105	122
945	2106	120
946	2108	118
947	2110	115
948	2112	113
949	2115	111
950	2117	109
951	2119	106
952	2120	104
953	2123	102
954	2125	100
955	2127	97
956	2129	95
957	2131	93
958	2133	91
959	2135	88
960	2137	86
961	2139	84
962	2141	82
963	2143	80
964	2145	77
965	2148	75
966	2151	73
967	2153	71
968	2155	68
969	2157	66
970	2159	64
971	2161	62
972	2163	60
973	2165	57
974	2166	55
975	2169	53
976	2170	51
977	2172	48
978	2174	46
979	2176	44
980	2178	42
981	2180	39
982	2182	37
983	2184	35
984	2187	33
985	2189	31
986	2191	28
987	2194	26
988	2196	24
989	2198	22
990	2200	19
991	2202	17
992	2204	15
993	2206	13
994	2208	11
995	2210	8
996	2212	6
997	2214	4
998	2216	2
999	2218	0
